Stn Code,Sampling Date,State,City,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
370,09-06-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,13,105,36
370,11-06-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,15,136,32
370,16-06-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",4,10,129,28
370,18-06-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,8,61,12
370,22-06-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",3,8,79,15
370,25-06-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",3,9,67,9
370,29-06-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",9,18,90,37
370,02-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,15,174,44
370,06-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,96,37
370,09-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,12,83,32
370,13-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,15,116,39
370,16-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,13,105,31
370,20-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,13,117,41
370,23-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,148,48
370,27-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",3,6,43,19
370,30-07-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",3,6,64,21
370,03-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,67,38
370,06-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,69,40
370,10-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,10,71,41
370,13-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,74,43
370,17-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,72,42
370,20-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,75,44
370,24-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",5,10,71,40
370,27-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,73,41
370,31-08-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,45
370,03-09-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,14,71,35
370,07-09-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,15,109,44
370,10-09-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,14,95,41
370,14-09-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,15,96,44
370,19-09-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,100,49
370,21-09-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,15,108,47
370,24-09-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,107,50
370,28-09-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,14,97,38
370,01-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,13,160,52
370,05-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,13,106,49
370,08-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,99,41
370,13-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,15,109,44
370,16-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,15,109,46
370,19-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,92,39
370,21-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,104,44
370,28-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,15,102,49
370,30-10-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,14,101,35
370,02-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,15,96,32
370,05-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,15,103,45
370,09-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,13,103,38
370,11-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",17,24,443,97
370,16-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,91,29
370,19-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,13,94,32
370,23-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,15,99,38
370,26-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,100,41
370,29-11-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,15,109,44
370,03-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,13,93,45
370,07-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,13,97,42
370,10-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,13,108,38
370,14-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,97,49
370,19-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",8,13,98,46
370,21-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",6,13,67,34
370,24-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,18
370,28-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,13,79,37
370,31-12-15,Odisha,Rourkela,"Regional Office, ORPB, Rourkela",Odisha State Pollution Control Board,"Residential, Rural and other Areas",7,14,105,44
423,10-02-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,14,73,21
423,12-02-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,12,40,14
423,23-02-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,13,32,11
423,25-02-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,14,66,21
423,03-03-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,29,47,20
423,09-03-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,63,28
423,12-03-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,13,100,38
423,16-03-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,97,37
423,19-03-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,14,87,34
423,23-03-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,62,28
423,26-03-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,54,22
423,31-03-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,61,27
423,06-04-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,24,12
423,08-04-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,13,40,21
423,15-04-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,68,24
423,17-04-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,40,21
423,20-04-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,42,16
423,23-04-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,43,17
423,27-04-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,34,15
423,04-05-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,49,14
423,08-05-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,40,12
423,12-05-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,38,12
423,14-05-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,41,13
423,18-05-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,36,11
423,21-05-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,46,14
423,25-05-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,38,13
423,28-05-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,45,15
423,02-06-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,48,22
423,04-06-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,27,14
423,08-06-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,35,16
423,11-06-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,48,19
423,22-06-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,28,11
423,24-06-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,31,18
423,26-06-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,33,17
423,30-06-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,37,22
423,02-07-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,46,18
423,06-07-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,41,22
423,09-07-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,45,19
423,13-07-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,28,17
423,16-07-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,30,13
423,29-07-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,34,16
423,01-08-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,45,18
423,06-08-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,14,43,20
423,10-08-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,34,14
423,17-08-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,26,15
423,19-08-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,32,14
423,24-08-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,14,37,17
423,01-09-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,45,20
423,07-09-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,56,24
423,10-09-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,64,29
423,15-09-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,14,61,21
423,23-09-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,51,32
423,30-09-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,65,28
423,13-10-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,55,20
423,16-10-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,16,50,21
423,19-10-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,56,22
423,23-10-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,80,29
423,28-10-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,91,37
423,30-10-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,82,28
423,02-11-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,88,34
423,04-11-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,94,43
423,11-11-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",18,38,590,262
423,16-11-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,106,48
423,19-11-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,20,88,36
423,23-11-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,20,92,41
423,01-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,101,42
423,03-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,93,47
423,07-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,125,48
423,11-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,20,136,47
423,19-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,117,37
423,22-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,83,28
423,26-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,141,49
423,29-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,151,56
423,31-12-15,Odisha,Bhubaneswar,"IRC Vilage, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,115,46
424,05-01-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,24,147,NA
424,09-01-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,23,158,NA
424,14-01-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,24,163,NA
424,17-01-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,23,142,NA
424,20-01-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,25,163,NA
424,02-02-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,20,67,NA
424,04-02-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,23,87,NA
424,06-02-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,21,133,NA
424,10-02-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,20,94,NA
424,12-02-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,20,121,NA
424,03-03-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,21,59,NA
424,09-03-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,20,100,13
424,11-03-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,21,94,13
424,16-03-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,108,18
424,19-03-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,112,16
424,24-03-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,122,19
424,26-03-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,105,14
424,31-03-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,95,17
424,07-04-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,92,17
424,10-04-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,73,12
424,15-04-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,96,9
424,17-04-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,65,13
424,22-04-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,73,19
424,24-04-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,78,11
424,27-04-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,65,19
424,29-04-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,68,15
424,06-05-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,72,18
424,08-05-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,71,15
424,13-05-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,79,19
424,16-05-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,81,NA
424,20-05-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,75,NA
424,22-05-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,101,NA
424,25-05-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,107,NA
424,27-05-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,95,NA
424,02-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,17,89,NA
424,05-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,68,NA
424,09-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,65,NA
424,11-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,23,81,NA
424,17-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,38,NA
424,19-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,13,38,NA
424,23-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,67,NA
424,26-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,20,44,NA
424,29-06-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,18,49,NA
424,02-07-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,65,NA
424,06-07-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,70,NA
424,09-07-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,19,64,NA
424,14-07-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,14,78,NA
424,16-07-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,15,34,NA
424,22-07-15,Odisha,Bhubaneswar,"Capital Police Station, Bhubaneshwar",Odisha State Pollution Control Board,"Residential, Rural and other Areas",2,13,71,NA
